timestamp,best_bid,best_ask,mid,bid_quote,ask_quote,imbalance,inventory,cash,pnl
2025-12-30T11:53:01.293967,9992.0,9994.0,9993.0,9990.25,9995.25,0.0361,1,-9936.11,56.89
2025-12-30T11:53:01.595962,10005.0,10007.0,10006.0,10003.09,10008.09,-0.0723,1,-9936.11,69.89
2025-12-30T11:53:01.899458,10010.0,10012.0,10011.0,10008.08,10013.08,-0.0827,1,-9936.11,74.89
2025-12-30T11:53:02.202224,10009.0,10011.0,10010.0,10007.15,10012.15,-0.0337,1,-9936.11,73.89
2025-12-30T11:53:02.505026,9996.0,10000.0,9998.0,9995.78,10000.78,0.3871,1,-9936.11,61.89
2025-12-30T11:53:02.809211,10007.0,10009.0,10008.0,10005.94,10010.94,0.4917,1,-9936.11,71.89
2025-12-30T11:53:03.112611,10011.0,10015.0,10013.0,10010.41,10015.41,0.1374,1,-9936.11,76.89
2025-12-30T11:53:03.416145,9992.0,9994.0,9993.0,9990.55,9995.55,0.2338,1,-9936.11,56.89
2025-12-30T11:53:03.720172,10006.0,10010.0,10008.0,10005.6,10010.6,0.2698,1,-9936.11,71.89
2025-12-30T11:53:04.022264,10014.0,10016.0,10015.0,10012.63,10017.63,0.2895,1,-9936.11,78.89
2025-12-30T11:53:04.326781,9986.0,9990.0,9988.0,9984.92,9989.92,-0.1896,0,53.81,53.81
2025-12-30T11:53:04.631277,10012.0,10014.0,10013.0,10011.12,10015.12,0.08,0,53.81,53.81
2025-12-30T11:53:04.933207,10005.0,10009.0,10007.0,10004.98,10008.98,-0.0113,0,53.81,53.81
2025-12-30T11:53:05.239233,9995.0,9997.0,9996.0,9993.71,9997.71,-0.1923,0,53.81,53.81
2025-12-30T11:53:05.543495,10012.0,10016.0,10014.0,10011.71,10015.71,-0.1958,0,53.81,53.81
2025-12-30T11:53:05.847160,10017.0,10021.0,10019.0,10016.37,10020.37,-0.419,0,53.81,53.81
2025-12-30T11:53:06.147807,10009.0,10011.0,10010.0,10008.0,10012.0,0.0027,0,53.81,53.81
2025-12-30T11:53:06.463101,10012.0,10016.0,10014.0,10012.05,10016.05,0.0347,0,53.81,53.81
2025-12-30T11:53:06.779164,9987.0,9989.0,9988.0,9986.11,9990.11,0.0744,0,53.81,53.81
2025-12-30T11:53:07.079630,9992.0,9996.0,9994.0,9992.05,9996.05,0.0365,1,-9938.25,55.75
2025-12-30T11:53:07.382017,9992.0,9994.0,9993.0,9990.06,9995.06,-0.0924,1,-9938.25,54.75
2025-12-30T11:53:07.684483,10010.0,10014.0,10012.0,10009.33,10014.33,0.0883,1,-9938.25,73.75
2025-12-30T11:53:07.989505,9999.0,10001.0,10000.0,9996.97,10001.97,-0.152,1,-9938.25,61.75
2025-12-30T11:53:08.295327,10006.0,10008.0,10007.0,10004.81,10009.81,0.4068,1,-9938.25,68.75
2025-12-30T11:53:08.599386,10012.0,10014.0,10013.0,10010.68,10015.68,0.3174,1,-9938.25,74.75
2025-12-30T11:53:08.908082,9992.0,9994.0,9993.0,9989.39,9994.39,-0.5385,1,-9938.25,54.75
2025-12-30T11:53:09.216357,10005.0,10007.0,10006.0,10003.29,10008.29,0.0596,1,-9938.25,67.75
2025-12-30T11:53:09.522799,9981.0,9985.0,9983.0,9980.5,9985.5,0.1979,1,-9938.25,44.75
2025-12-30T11:53:09.828240,9988.0,9992.0,9990.0,9987.17,9992.17,-0.0227,1,-9938.25,51.75
2025-12-30T11:53:10.135172,10011.0,10013.0,10012.0,10008.92,10013.92,-0.1848,1,-9938.25,73.75
2025-12-30T11:53:10.440950,9989.0,9991.0,9990.0,9986.99,9991.99,-0.1385,1,-9938.25,51.75
2025-12-30T11:53:10.743537,9984.0,9986.0,9985.0,9981.58,9986.58,-0.4123,1,-9938.25,46.75
2025-12-30T11:53:11.053951,9979.0,9983.0,9981.0,9978.85,9983.85,0.4331,1,-9938.25,42.75
2025-12-30T11:53:11.363724,10001.0,10005.0,10003.0,10000.06,10005.06,-0.0943,1,-9938.25,64.75
2025-12-30T11:53:11.668157,9997.0,10001.0,9999.0,9995.85,10000.85,-0.2339,1,-9938.25,60.75
2025-12-30T11:53:11.981402,10006.0,10010.0,10008.0,10005.27,10010.27,0.0473,1,-9938.25,69.75
2025-12-30T11:53:12.292409,10018.0,10022.0,10020.0,10016.53,10021.53,-0.4475,1,-9938.25,81.75
2025-12-30T11:53:12.606321,10002.0,10006.0,10004.0,10001.24,10006.24,0.0244,1,-9938.25,65.75
2025-12-30T11:53:12.916397,9989.0,9993.0,9991.0,9988.94,9993.94,0.4924,1,-9938.25,52.75
2025-12-30T11:53:13.220844,9982.0,9984.0,9983.0,9980.46,9985.46,0.1742,1,-9938.25,44.75
2025-12-30T11:53:13.526944,9999.0,10003.0,10001.0,9998.53,10003.53,0.2167,1,-9938.25,62.75
2025-12-30T11:53:13.839026,10014.0,10018.0,10016.0,10013.35,10018.35,0.102,1,-9938.25,77.75
2025-12-30T11:53:14.153279,9994.0,9996.0,9995.0,9991.76,9996.76,-0.2924,1,-9938.25,56.75
2025-12-30T11:53:14.463545,9987.0,9989.0,9988.0,9985.13,9990.13,-0.0489,1,-9938.25,49.75
2025-12-30T11:53:14.767266,9999.0,10003.0,10001.0,9997.55,10002.55,-0.4335,1,-9938.25,62.75
2025-12-30T11:53:15.070400,9995.0,9997.0,9996.0,9993.48,9998.48,0.1895,1,-9938.25,57.75
2025-12-30T11:53:15.374230,9992.0,9996.0,9994.0,9991.09,9996.09,-0.0722,1,-9938.25,55.75
2025-12-30T11:53:15.687279,10005.0,10009.0,10007.0,10003.72,10008.72,-0.3171,1,-9938.25,68.75
2025-12-30T11:53:15.998865,9984.0,9986.0,9985.0,9982.71,9987.71,0.3404,1,-9938.25,46.75
2025-12-30T11:53:16.307198,10017.0,10021.0,10019.0,10016.06,10021.06,-0.0925,1,-9938.25,80.75
2025-12-30T11:53:16.619474,10003.0,10007.0,10005.0,10002.13,10007.13,-0.0476,1,-9938.25,66.75
2025-12-30T11:53:16.919516,9982.0,9986.0,9984.0,9981.16,9986.16,-0.0258,1,-9938.25,45.75
2025-12-30T11:53:17.220012,9984.0,9988.0,9986.0,9982.95,9987.95,-0.1644,1,-9938.25,47.75
2025-12-30T11:53:17.527653,9992.0,9994.0,9993.0,9990.28,9995.28,0.0563,1,-9938.25,54.75
2025-12-30T11:53:17.828477,9980.0,9982.0,9981.0,9978.54,9983.54,0.2246,1,-9938.25,42.75
2025-12-30T11:53:18.129448,10001.0,10003.0,10002.0,9999.38,10004.38,0.1188,1,-9938.25,63.75
2025-12-30T11:53:18.430810,10017.0,10021.0,10019.0,10016.6,10021.6,0.2687,1,-9938.25,80.75
2025-12-30T11:53:18.743659,9985.0,9989.0,9987.0,9984.79,9989.79,0.3939,1,-9938.25,48.75
2025-12-30T11:53:19.047540,9985.0,9987.0,9986.0,9983.73,9988.73,0.3519,1,-9938.25,47.75
2025-12-30T11:53:19.348337,9983.0,9987.0,9985.0,9982.07,9987.07,-0.0872,1,-9938.25,46.75
2025-12-30T11:53:19.649667,10004.0,10008.0,10006.0,10002.61,10007.61,-0.3958,1,-9938.25,67.75
2025-12-30T11:53:19.951537,10002.0,10004.0,10003.0,10000.16,10005.16,-0.0267,1,-9938.25,64.75
2025-12-30T11:53:20.256420,9994.0,9996.0,9995.0,9991.95,9996.95,-0.1688,1,-9938.25,56.75
2025-12-30T11:53:20.561907,10015.0,10019.0,10017.0,10013.97,10018.97,-0.1534,1,-9938.25,78.75
2025-12-30T11:53:20.864497,10003.0,10005.0,10004.0,10001.05,10006.05,-0.0968,1,-9938.25,65.75
2025-12-30T11:53:21.168033,10002.0,10004.0,10003.0,10000.78,10005.78,0.3855,1,-9938.25,64.75
2025-12-30T11:53:21.494621,9979.0,9983.0,9981.0,9977.59,9982.59,-0.4035,1,-9938.25,42.75
2025-12-30T11:53:21.796383,9990.0,9994.0,9992.0,9989.43,9994.43,0.1504,1,-9938.25,53.75
2025-12-30T11:53:22.097463,10010.0,10014.0,10012.0,10009.26,10014.26,0.042,1,-9938.25,73.75
2025-12-30T11:53:22.400506,9980.0,9984.0,9982.0,9979.77,9984.77,0.3798,1,-9938.25,43.75
2025-12-30T11:53:22.705982,10016.0,10020.0,10018.0,10015.3,10020.3,0.0657,1,-9938.25,79.75
2025-12-30T11:53:23.006036,10001.0,10003.0,10002.0,9999.67,10004.67,0.3125,1,-9938.25,63.75
2025-12-30T11:53:23.317193,9979.0,9983.0,9981.0,9978.29,9983.29,0.0621,1,-9938.25,42.75
2025-12-30T11:53:23.621395,10002.0,10004.0,10003.0,10000.17,10005.17,-0.0178,1,-9938.25,64.75
